chapter_number,volume,name,romanized_title,viz_title,pages,date,episodes,,,,
403,42,Mr. Chivalry,Misuta Kishido,Mr. Chivalry,19,13/03/2006,"Episode 287 (p. 2-15), Episode 288 (p. 16-19)",,,,
404,42,Franky vs Fukurou,Furanki vs FukurÙ,Franky vs. Fukurou,19,20/03/2006,Episode 288 (p. 2-19),,,,
405,42,Power,Pawa,Power,19,27/03/2006,Episode 289 (p. 2-19),,,,
406,42,Seimei Kikan,Seimei Kikan,Life Return,19,10/04/2006,"Episode 289 (p. 2-10), Episode 290 (p. 11-19)",,,,
407,42,Monster,Monsuta,Monster,19,17/04/2006,"Episode 290 (p. 2-13), Episode 293 (p. 14-19)",,,,
408,42,Monster vs Kumadori,Monsuta Basasu Kumadori,Monster vs. Kumadori,19,24/04/2006,Episode 293 (p. 2-19),,,,
409,42,Emergency Bad News Broadcast,Kyoho Kinkyu Daihoso,The Terrifying Broadcast,19,08/05/2006,Episode 294 (p. 2-19),,,,
410,43,Nami Becomes Huge,Nami Kyodaika,Super-Size Nami,19,15/05/2006,Episode 295 (p. 2-19),,,,
411,43,Nami vs Kalifa,Nami vs Karifa,Nami vs. Kalifa,19,22/05/2006,"Episode 295 (p. 2-18), Episode 296 (p. 19)",,,,
412,43,The Chance Has Ended,Chansu wa Owatta,You Missed Your Chance,19,29/05/2006,Episode 296 (p. 2-19),,,,
413,43,Hunter,Kariudo,Hunter,19,05/06/2006,Episode 297 (p. 2-19),,,,
414,43,Sanji vs Jabra,Sanji vs Jabura,Sanji vs. Jabra,19,12/06/2006,"Episode 297 (p. 2-10), Episode 298 (p. 11-19)",,,,
415,43,Heat Up,Hito Appu,Heat Up,19,19/06/2006,Episode 298 (p. 2-19),,,,
416,43,Zoro vs Kaku,Zoro vs Kaku,Zolo vs. Kaku,19,26/06/2006,"Episode 298 (p. 2), Episode 299 (p. 3-19)",,,,
417,43,Asura,Ashura,Asura,19,03/07/2006,"Episode 299 (p. 2-11), Episode 300 (p. 12-19)",,,,
418,43,Luffy vs. Rob Lucci,Rufi vs Robu Rucchi,Luffy vs. Rob Lucci,19,10/07/2006,Episode 300 (p. 2-19),,,,
419,43,The Legendary Hero,Eiyu Densetsu,Legend of a Hero,19,15/07/2006,Episode 301 (p. 2-19),,,,
420,44,Buster Call,Basuta Koru,Buster Call,19,24/07/2006,"Episode 301 (p. 2-5), Episode 302 (p. 6-19)",,,,
421,44,Gear Third,Gia Sado,Gear Three,19,31/07/2006,Episode 304 (p. 2-19),,,,
422,44,Rob Lucci,Robu Rucchi,Rob Lucci,19,07/08/2006,Episode 305 (p. 2-19),,,,
423,44,Mermaid Legend,Ningyo Densetsu,Mermaid Legend,19,21/08/2006,Episode 306 (p. 2-19),,,,
424,44,Escape Ship,Dasshutsu-sen,Escape Ship,19,28/08/2006,"Episode 307 (p. 2-3, 7-19), Episode 306 (p. 4-6)",,,,
425,44,Struggle on the Bridge,Shito no Hashi,Bridge of Mortal Combat,19,04/09/2006,"Episode 307 (p. 2-9), Episode 308 (p. 10-19)",,,,
426,44,A Ship Waiting for Wind,Kazamachi no Fune,A Ship Waiting for Wind,19,11/09/2006,"Episode 308 (p. 2-11, 15-19), Episode 309 (p. 12-14)",,,,
427,44,It's Not Like it's Hell Here,Koko ga Jigoku ja Arumeshi,This Isn't the Afterlife,19,16/09/2006,Episode 309 (p. 2-19),,,,
428,44,Let's Return,Kaero,Let's Go Back,19,25/09/2006,Episode 310 (p. 2-19),,,,
429,44,Complete Defeat,Kanpai,Utter Defeat,19,02/10/2006,Episode 311 (p. 2-19),,,,
430,44,Falling Snow of Reminiscence,Furisosogu Tsuiso no Awayuki,A Light Snow of Reminiscence Falls,19,07/10/2006,Episode 312 (p. 2-19),,,,
431,45,Fist of Love,Ai no Kobushi,Fist of Love,19,23/10/2006,Episode 313 (p. 2-19),,,,
432,45,Jack in the Box,Bikkuri Bako,Jack-in-the-Box,19,30/10/2006,Episode 314 (p. 2-19),,,,
433,45,The Name of That Sea is,Sono Umi no Na wa,The Name of That Sea,19,06/11/2006,"Episode 315 (p. 2-18), Episode 316 (p. 19)",,,,
434,45,Whitebeard and Redhair,Shirohige to Akagami,Whitebeard and Red-Hair,19,13/11/2006,"Episode 316 (p. 2-17), Episode 325 (p. 18-19)",,,,
435,45,We Understand How You Feel,Shinchu Osasshisuru,You Have My Sympathies,19,20/11/2006,"Episode 316 (p. 2-7), Episode 317 (p. 7), Episode 318 (p. 7), Episode 319 (p. 7-9), Episode 320 (p. 10-19)",,,,
436,45,Pants from Franky House,Pantsu Furomu Furankihausu,Trunks from Franky-House,19,04/12/2006,Episode 321 (p. 2-19),,,,
437,45,Naked But Great,Hadaka Hyakkan,Naked Mania,19,11/12/2006,Episode 322 (p. 2-19),,,,
438,45,Pride,Puraido,Pride,19,18/12/2006,Episode 323 (p. 2-19),,,,
439,45,The Third and the Seventh,Sanninme to Nananinme,Third and Seventh,19,25/12/2006,Episode 324 (p. 2-19),,,,
440,45,Fire Fist vs Blackbeard,Hiken vs Kurohige,Fire Fist vs. Blackbeard,19,06/01/2007,"Episode 324 (p. 2-10), Episode 325 (p. 11-19)",,,,
441,46,Duel on Banaro Island,Banaro-to no Ketto,Duel on Banaro Island,19,22/01/2007,Episode 325 (p. 2-19),,,,
442,46,Adventure in the Demon Sea,Ma no Umi no Boken,Adventure in the Demonic Sea,19,29/01/2007,"Episode 326 (p. 2-3), Episode 337 (p. 4-19)",,,,
443,46,Thriller Bark,Surira Baku,Thriller Bark,19,05/02/2007,"Episode 338 (p. 2-17), Episode 339 (p. 18-19)",,,,
444,46,Adventure at the Ghost Island,Gosuto Airando no Boken,Adventure on Ghost Island,19,10/02/2007,Episode 339 (p. 2-19),,,,
445,46,The Zombie,Za Zonbi,Zombies,19,19/02/2007,Episode 340 (p. 2-19),,,,
446,46,Doctor Hogback,Dokutoru Hogubakku,Doctor Hogback,19,26/02/2007,"Episode 340 (p. 2-11), Episode 341 (p. 12-19)",,,,
447,46,Surprise Zombie,Bikkuri Zonbi,Zombie-in-the-Box,19,05/03/2007,"Episode 341 (p. 2-16), Episode 342 (p. 17-19)",,,,
448,46,Moria,Moria,Moria,19,12/03/2007,"Episode 342 (p. 2-15), Episode 343 (p. 16-19)",,,,
449,46,The Mysterious Four of Thriller Bark,Surira Baku no Yonkaijin,The Four Monsters of Thriller Bark,19,26/03/2007,"Episode 342 (p. 3-7), Episode 343 (p. 8-19)",,,,
450,47,General Zombie Night,Jeneraru Zonbi Naito,Night of the General Zombies,19,02/04/2007,Episode 344 (p. 2-19),,,,
451,47,Perona's Wonder Garden,Perona no Wanda Gaden,Perona's Wonder Garden,19,09/04/2007,Episode 345 (p. 2-19),,,,
452,47,Jigor<U+03BF> of the Wind,Kaze no Jigoro,Jigoro of the Wind,19,16/04/2007,Episode 346 (p. 2-19),,,,
453,47,Cloudy With a Small Chance of Bone,Kumori Tokidoki Hone,"Cloudy, Partly Bony",19,23/04/2007,Episode 347 (p. 2-19),,,,
454,47,Humming,Hanauta,The Humming Swordsman,19,28/04/2007,"Kaze wo Sagashite (p. 1-2), Episode 348 (p. 3-17)",,,,
455,47,Gecko Moria of the Seven Warlords of the Sea,Oka Shichibukai Gekko Moria,Gecko Moria of the Seven Warlords of the Sea,19,14/05/2007,Episode 349 (p. 2-19),,,,
456,47,Demon From the Frozen Land,Kori no Kuni kara Kita Majin,Demon from the Land of Ice,19,21/05/2007,Episode 350 (p. 2-19),,,,
457,47,Meeeeat!!!,Niku~~!!!,Meat!!!,17,28/05/2007,Episode 351 (p. 2-17),,,,
458,47,Not The Afro!,Afuro dake wa,Anything but My Afro,19,04/06/2007,"Episode 352 (p. 2-13), Episode 353 (p. 14-19)",,,,
459,47,Being Dead Isn't an Apology,Shin de Gomen ja nai Desho ni,I Can't Just Die Hoping to be Forgiven,19,11/06/2007,"Episode 353 (p. 2-12), Episode 354 (p. 13-19)",,,,
460,48,Get Back Before Dawn!!,Yoake Mae ni Torikaese!!,Conquest Before Dawn!!,19,25/06/2007,Episode 355 (p. 2-19),,,,
461,48,Ghost Buster,Gosuto Basuta,Ghost Buster,19,02/07/2007,Episode 356 (p. 2-19),,,,
462,48,Oars' Adventure,Ozu no Boken,Adventures of Oars,19,09/07/2007,Episode 357 (p. 2-19),,,,
463,48,Pirate Sanji vs Mysterious Absalom,Kaizoku Sanji Basasu Kaijin Abusaromu,Pirate Sanji vs. Mystery Man Absalom,19,14/07/2007,"Episode 357 (p. 2-3), Episode 358 (p. 3-8, 10-19), Episode 359 (p. 9)",,,,
464,48,Sanji's Dream,Sanji no Yume,Sanji's Dream,19,23/07/2007,Episode 359 (p. 3-19),,,,
465,48,Pirate Usopp vs Princess Perona,Kaizoku Usoppu Basasu Purinsesu Perona,Pirate Usopp vs. Mystery Woman Perona,19,30/07/2007,Episode 360 (p. 2-19),,,,
466,48,Conclusion,Kecchaku,Conclusion,19,06/08/2007,"Episode 361 (p. 2-15), Episode 362 (p. 16-19)",,,,
467,48,Pirate Zoro vs Samurai Ryuma,Kaizoku Zoro Basasu Samurai Ryuma,Pirate Zolo vs. Samurai Ryuma,19,20/08/2007,Episode 362 (p. 2-19),,,,
468,48,Pirate Chopper vs Mysterious Hogback,Kaizoku Choppa Basasu Kaijin Hogubakku,Pirate Chopper vs. Mystery Man Hogback,19,27/08/2007,Episode 363 (p. 2-19),,,,
469,48,"Show Yourselves, Straw Hat Crew!!!",Dete Koi Mugiwara no Ichimi!!!,"Come Out Here, Straw Hat Pirates!",19,03/09/2007,Episode 364 (p. 2-19),,,,
470,48,Oars Vs The Straw Hat Crew,Ozu Basasu Mugiwara no Ichimi,Oars vs. Straw Hat Pirates,19,10/09/2007,Episode 365 (p. 2-19),,,,
471,49,My Friend,Mai Furendo,My Friend,17,22/09/2007,"Episode 366 (p. 2-19), Episode 365 (p. 7)",,,,
472,49,Down,Daun,Down,19,01/10/2007,Episode 367 (p. 2-19),,,,
473,49,Warlord Bartholomew Kuma Appears,Oka Shichibukai Basoromyu Kuma Arawaru,Warlord Bartholomew Kuma Appears,19,06/10/2007,Episode 368 (p. 2-19),,,,
474,49,Gotta Do It!,Yarushikane!!!,We Have To Do It!,19,15/10/2007,Episode 369 (p. 2-19),,,,
475,49,The Forest Pirates,Mori no Kaizoku-Dan,Pirates Of The Forest,19,22/10/2007,Episode 370 (p. 2-19),,,,
476,49,Nightmare Luffy,Naitomea Rufi,Nightmare Luffy,19,29/10/2007,"Episode 370 (p. 2-7), Episode 371 (p. 8-19)",,,,
477,49,03-Aug,8 Bun no 3,03-Aug,19,05/11/2007,Episode 371 (p. 2-19),,,,
478,49,Luffy vs. Luffy,Rufi Basasu Rufi,Luffy vs Luffy,19,12/11/2007,Episode 372 (p. 2-19),,,,
479,49,Warrior of Hope,Kibo no Senshi,Warrior Of Hope,19,19/11/2007,Episode 372 (p. 2-19),,,,
480,49,Ambush Attack,Geigeki,Interception,19,03/12/2007,Episode 373 (p. 2-19),,,,
481,49,Shadow's Asgard,Shadozu Asugarudo,Shadows Asgard,19,10/12/2007,"Episode 373 (p. 2-13), Episode 374 (p. 14-19)",,,,
482,50,Morning Comes,Asa ga Kuru,Morning Is Coming,19,17/12/2007,Episode 374 (p. 2-19),,,,
483,50,End of the Dream,Yume no Owari,The End Of The Dream,19,25/12/2007,Episode 375 (p. 2-19),,,,
484,50,Squish,Puni,Squish,19,04/01/2008,Episode 376 (p. 2-19),,,,
485,50,Straw Hat Pirate Crew: Pirate Hunter Zoro,Mugiwara no Ichimi - Kaizoku-Gari no Zoro,Straw Hat Pirates - Pirate Hunter Zolo,19,21/01/2008,Episode 377 (p. 2-19),,,,
486,50,Piano,Piano,Piano,19,28/01/2008,Episode 378 (p. 2-19),,,,
487,50,That Song,Ano Uta,That Song,19,04/02/2008,"Episode 381 (p. 1), Episode 379 (p. 2-12), Episode 380 (p. 13-19)",,,,
488,50,Song of Life,Inochi no Uta,Song of Love,19,09/02/2008,Episode 380 (p. 2-19),,,,
489,50,The Eighth,Hachininme,Eighth Person,19,25/02/2008,Episode 381 (p. 2-19),,,,
490,50,Arriving Once Again,Futatabi Tadoritsuku,Arriving Again,19,03/03/2008,"Episode 381 (p. 2-6), Episode 385 (p. 7-18), Episode 386 (p. 19)",,,,
491,50,Flying Fish Riders,Tobiuo Raidazu,Flying Fish Riders,19,10/03/2008,Episode 386 (p. 2-19),,,,
492,51,Iron Mask Duval,Tetsu Kamen no Dyubaru,Iron Mask Duval,19,17/03/2008,Episode 387 (p. 2-19),,,,
493,51,You Know,Shitteru,You Know Me,19,24/03/2008,"Episode 387 (p. 2-3), Episode 388 (p. 4-19)",,,,
494,51,Duval's Tragedy,Dyubaru no Higeki,Duval's Tragedy,19,31/03/2008,"Episode 388 (p. 2-19), Episode 389 (p. 17, 19)",,,,
495,51,Gaon Cannon,Gaon Ho,Gaon Cannon,19,07/04/2008,Episode 389 (p. 2-19),,,,
496,51,The Yarukiman Mangrove,Yarukiman Mangurobu,Yarukiman Mangrove,19,14/04/2008,Episode 390 (p. 2-19),,,,
497,51,Adventure on the Archipelago of Dancing Soap Bubbles,Shabon Mau Shoto no Boken,Adventure on the Archipelago of Dancing Soap Bubbles,19,21/04/2008,Episode 391 (p. 2-19),,,,
498,51,The Eleven Supernovas,Juichinin no Choshinsei,The Eleven Supernovas,19,28/04/2008,Episode 392 (p. 2-19),,,,
499,51,Sabaody Park,Shabondi Paku,Sabaody Park,19,19/05/2008,Episode 393 (p. 2-19),,,,
500,51,Embers of History,Rekishi no Nokoribi,The Embers of History,19,26/05/2008,Episode 394 (p. 2-19),,,,
501,51,A World Beginning to Swell,Uneri Hajimeru Sekai,The World Begins to Swell,19,02/06/2008,Episode 395 (p. 2-19),,,,
502,51,The Incident of the Celestial Dragons,Tenryubito no Ikken,The Incident of the Celestial Dragons,19,09/06/2008,Episode 396 (p. 2-19),,,,
503,52,An Island in Chaos,Aradatsu Shima,Aggravated Island,19,16/06/2008,Episode 397 (p. 2-19),,,,
504,52,Pirate Frontline On The Move!!,Kaizoku Zensen Idochu!!,Pirate Front Line on the Move!!,19,23/06/2008,Episode 398 (p. 2-19),,,,
505,52,Kuma,Kuma,Kuma,19,30/06/2008,Episode 399 (p. 2-19),,,,
506,52,Roger and Rayleigh,Roja to Reiri,Roger and Rayleigh,19,07/07/2008,"Episode 399 (p. 2-5), Episode 400 (p. 6-19)",,,,
507,52,Kizaru Arrives,Kizaru Joriku,Kizaru Arrives,19,19/07/2008,"Episode 400 (p. 2-12), Episode 401 (p. 13-19)",,,,
508,52,Island of Carnage,Shura no Shima,Island of Carnage,19,28/07/2008,Episode 401 (p. 2-19),,,,
509,52,Kizaru vs the Four Captains,Kizaru vs Yonin no Sencho,Kizaru vs. Four Captains,19,04/08/2008,Episode 402 (p. 2-19),,,,
510,52,Straw Hat Crew vs. Combat Weapon,Mugiwara no Ichimi Basasu Sento Heiki,Straw Hat Pirates vs. War Machine,19,11/08/2008,"Episode 402 (p. 2-10), Episode 403 (p. 11-19)",,,,
511,52,Axe-Wielding Sentomaru,Masakari Katsuida Sentomaru,Axe-Carrying Sentomaru,19,25/08/2008,"Episode 403 (p. 2-15), Episode 404 (p. 16-19)",,,,
512,52,Zoro Lost,"Zoro, Otosata nashi","Zolo, Gone",19,01/09/2008,Episode 404 (p. 2-19),,,,
513,53,I Couldn't Save Them!!!,Sukuenai!!!,Beyond Rescue!!!,19,08/09/2008,Episode 405 (p. 2-19),,,,
514,53,Mushrooms-Grow-From-the-Body Mushroom,Karada-kara-Kinoko-ga-Haeru Dake,Body Parasite Mushrooms,19,13/09/2008,Episode 408 (p. 2-19),,,,
515,53,Adventure on the Island of Women,Nyogashima no Boken,Adventure on the Island of Women,19,22/09/2008,Episode 409 (p. 2-19),,,,
516,53,The Pirate Empress Boa Hancock,Kaizoku Jotei Boa Hankokku,Pirate Empress Boa Hancock,17,29/09/2008,"Episode 516 (p. 1-2), Episode 410 (p. 3-19)",,,,
517,53,Bathing,Yuami,Bath Time,19,06/10/2008,Episode 411 (p. 2-19),,,,
518,53,The Arena,Togidai,Coliseum,19,11/10/2008,Episode 412 (p. 2-19),,,,
519,53,A King's Disposition,O no Shishitsu,Natural Born King,19,27/10/2008,Episode 413 (p. 2-19),,,,
520,53,Gorgon's Eyes,Gorugon no Me,Eye of the Gorgon,19,01/11/2008,Episode 414 (p. 2-19),,,,
521,53,The Hoof of Celestial Dragons,Amakakeru Ryu no Hizume,Hoof of the Celestial Dragon,19,10/11/2008,Episode 415 (p. 2-19),,,,
522,53,Fatal Disease,Shi ni Itaru Yamai,Fatal Illness,19,17/11/2008,"Episode 416 (p. 2-14), Episode 417 (p. 15-19)",,,,
523,54,Hell,Jigoku,Hell,19,22/11/2008,"Episode 417 (p. 2-13), Episode 418 (p. 14-17), Episode 419 (p. 18-19)",,,,
524,54,No One Can Stop This Now,Mo Darenimo Tomerarenai,Unstoppable,19,01/12/2008,"Episode 420 (p. 2-3, 6-7), Episode 421 (p. 4-5, 10-19), Episode 419 (p. 8-9, 13-14)",,,,
525,54,Underwater Prison Impel Down,Kaitei Kangoku Inperu Daun,The Underwater Prison Impel Down,19,08/12/2008,Episode 422 (p. 2-19),,,,
526,54,Adventure in the Great Prison,Daikangoku no Boken,Adventure in the Great Prison,19,22/12/2008,"Episode 422 (p. 3-6), Episode 423 (p. 7-19)",,,,
527,54,Level 1 Crimson Hell,Reberu Wan Guren Jigoku,Level 1: Crimson Hell,19,05/01/2009,Episode 424 (p. 2-19),,,,
528,54,"Jinbe, Knight of the Sea",Kaikyo no Jinbe,"Jimbei, First Son of the Sea",19,19/01/2009,"Episode 425 (p. 2-15), Episode 430 (p. 16-19)",,,,
529,54,Level 2 Wild Beast Hell,Reberu Tsu Moju Jigoku,Level 2: Beast Hell,19,26/01/2009,Episode 430 (p. 2-19),,,,
530,54,From Hell to Hell,Jigoku-e Jigoku-e,From One Hell to Another,19,02/02/2009,"Episode 431 (p. 2-19), Episode 425 (p. 5), Episode 432 (p. 19)",,,,
531,54,Level 3 Starvation Hell,Reberu Suri Kiga Jigoku,Level 3: Starvation Hell,19,09/02/2009,Episode 432 (p. 2-19),,,,
532,54,Jailer Beast Minotaurus,Gokusotsuju Minotaurosu,Jailer Beast Minotaur,19,16/02/2009,Episode 433 (p. 2-19),,,,
533,55,Level 4 Inferno Hell,Reberu Fo Shonetsu Jigoku,Level 4: Inferno Hell,19,23/02/2009,"Episode 434 (p. 2-19), Episode 435 (p. 18-19)",,,,
534,55,Chief Warden Magellan vs. Pirate Luffy,Kangoku Shocho Mazeran vs Kaizoku Rufi,Warden Magellan vs. Pirate Luffy,19,09/03/2009,Episode 435 (p. 2-19),,,,
535,55,Friends,Dachi,Friend,19,16/03/2009,"Episode 436 (p. 2-11), Episode 437 (p. 12-19)",,,,
536,55,Level 5 Frozen Hell,Reberu Faibu Gokkan Jigoku,Level 5: Frozen Hell,19,23/03/2009,"Kaze wo Sagashite (p. 1), Episode 437 (p. 2-11), Episode 438 (p. 12-19)",,,,
537,55,Okama in Hell,Jigoku ni Okama,A Ray of Hope,19,30/03/2009,"Kaze wo Sagashite (p. 1-2), Episode 438 (p. 3-9), Episode 439 (p. 10-19)",,,,
538,55,Level 5.5 Newkama Land,Reberu Go ten Go Banchi Nyukama Rando,Level 5.5 New Kama Land,19,06/04/2009,"Episode 439 (p. 2-7), Episode 440 (p. 8-19)",,,,
539,55,Emporio Tension Hormones,Enporio Tenshon Horumon,Emporio Energy Synthesis,19,13/04/2009,"Episode 440 (p. 2-4), Episode 441 (p. 5-19)",,,,
540,55,Level 6 Eternal Hell,Reberu Shikkusu Mugen Jigoku,Level 6: Infinite Hell,19,27/04/2009,"Episode 442 (p. 2-15), Episode 443 (p. 16-19)",,,,
541,55,The Likes of Which It Has Never Seen,Imada Katsute Nasshiburu,The Greatest Ever,19,11/05/2009,"Episode 443 (p. 2-14, 16), Episode 444 (p. 13-15, 17-19)",,,,
542,56,Another Incident to Be Told,Yagate Katarareru Mou Hitotsu no Jiken,Yet Another Epic Incident,19,18/05/2009,"Episode 444 (p. 2-11), Episode 445 (p. 12-19)",,,,
543,56,Straw Hat and Blackbeard,Mugiwara to Kurohige,Straw Hat and Blackbeard,19,25/05/2009,"Episode 454 (p. 1), Episode 445 (p. 2-7), Episode 446 (p. 8-19)",,,,
544,56,Even the Lid of Hell's Cauldron Will Open,Jigoku no Kama no Futa mo Aku,The Lid to the Cauldron of Hell Opens,19,01/06/2009,"Episode 454 (p. 1), Episode 446 (p. 2-4), Episode 447 (p. 5-19)",,,,
545,56,To the Sunshine in Outside World,Hi no Ataru Shaba-e,To Sunshine and Freedom,19,08/06/2009,"Episode 455 (p. 1), Episode 448 (p. 2-17), Episode 449 (p. 18-19)",,,,
546,56,"Fish-Man Pirate Captain Jinbe, Warlord of the Sea","Gyojin Kaizoku-dan Sencho ""Shichibukai"" Jinbe","Fish-Man Pirate Captain Jimbei, Warlord of the Sea",17,15/06/2009,"Episode 455 (p. 1), Episode 449 (p. 2-16), Episode 450 (p. 16-17)",,,,
547,56,Escaping the Island,Shimayaburi,Island Ripper,19,22/06/2009,Episode 450 (p. 2-19),,,,
548,56,Thank You,Arigato,Thank You,19,29/06/2009,"Episode 453 (p. 1), Episode 451 (p. 2-19)",,,,
549,56,Ship Sailing Forth,Shutsugeki no Fune,Battleship,19,06/07/2009,"Episode 453 (p. 1), Episode 452 (p. 2-17), Episode 459 (p. 18-19)",,,,
550,56,Marine Headquarters,Kaigun Honbu,Navy Headquarters,19,18/07/2009,"Episode 455 (p. 1), Episode 459 (p. 2-19)",,,,
551,56,Whitebeard of the Four Emperors,"Yonko ""Shirohige""",Whitebeard of the Four Emperors,19,27/07/2009,"Episode 455 (p. 1), Episode 459 (p. 2), Episode 460 (p. 3-16), Episode 461 (p. 17-19)",,,,
552,57,Ace and Whitebeard,Esu to Shirohige,Ace and Whitebeard,19,03/08/2009,"Episode 454 (p. 1), Episode 461 (p. 2-15), Episode 462 (p. 16-19)",,,,
553,57,Conflict at the Summit,Chojo Kessen,Summit Battle,17,10/08/2009,"Kaze wo Sagashite (p. 1-2), Episode 462 (p. 3-14), Episode 463 (p. 15-17)",,,,
554,57,Admiral Akainu,Taisho Akainu,Admiral Akainu,15,24/08/2009,"Episode 454 (p. 1), Episode 463 (p. 2-13, 15-19), Episode 464 (p. 14)",,,,
555,57,Oars and the Kasa,Ozu to kasa,Oars and the Hat,19,31/08/2009,"Episode 453 (p. 1), Episode 464 (p. 2-19)",,,,
556,57,Justice will Prevail!!,Seigi wa Katsu!!,Justice Will Prevail!,17,07/09/2009,"Episode 453 (p. 1), Episode 465 (p. 2-17)",,,,
557,57,Luffy and Whitebeard,Rufi to Shirohige,Luffy and Whitebeard,17,19/09/2009,"Episode 456 (p. 1), Episode 466 (p. 2-17)",,,,
558,57,Younger Brother,Ototo,Little Brother,17,28/09/2009,"Episode 456 (p. 1), Episode 467 (p. 2-17)",,,,
559,57,Karma,Tenmei,Destiny,17,05/10/2009,"Episode 456 (p. 1), Episode 468 (p. 2-17)",,,,
560,57,The Prisoners of Impel Down,Inperu Daun no Shujin-tachi,Prisoners of Impel Down,17,10/10/2009,"Episode 456 (p. 1), Episode 469 (p. 2-17)",,,,
561,57,Luffy vs Mihawk,Rufi vs Mihoku,Luffy vs. Mihawk,17,26/10/2009,Episode 470 (p. 2-17),,,,
562,57,Pirate Maelstrom Spider Squard,Kaizoku O Uzu Gumo Sukuado,Whirl Spider Squard,17,02/11/2009,Episode 471 (p. 2-17),,,,
563,58,"One Heart, One Man",Shinzo Hitotsu Ningen Hitori,"One Man, One Heart",17,09/11/2009,Episode 472 (p. 2-17),,,,
564,58,The Man Who Shakes the World,Sekai o yurasu otoko,The Man Who Shook The World,17,21/11/2009,Episode 473 (p. 2-17),,,,
565,58,Path of Oars,Ozu no Michi,Oars' Path,17,30/11/2009,Episode 474 (p. 2-17),,,,
566,58,Assault,Moko,Raid,19,07/12/2009,Episode 475 (p. 3-19),,,,
567,58,"Marineford Marine Headquarters, Oris Plaza",Marinfodo Kaigun Honbu Orisu Hiroba,Marineford Navy Headquarters - Oris Plaza,19,14/12/2009,Episode 476 (p. 3-19),,,,
568,58,Have it Your Own Damned Way,Katteni Shiyagare,Have It Your Way!,15,21/12/2009,Episode 477 (p. 2-15),,,,
569,58,White Monster,Shiroi Kaibutsu,White Monster,15,04/01/2010,Episode 478 (p. 2-15),,,,
570,58,Bridge of Life,Inochi no Kakehashi,The Bridge of Life,15,18/01/2010,Episode 479 (p. 2-15),,,,
571,58,Execution Platform,Shokeidai,The Execution Platform,17,25/01/2010,"Episode 479 (p. 2-3), Episode 480 (p. 4-17)",,,,
572,58,The Times They Are A-Changin',Za Taimuzu Zei A E-Chenjin -Jidai wa Kawaru-,The Times They Are A'Changin,17,01/02/2010,Episode 481 (p. 2-17),,,,
573,58,"I Call the Name of This Age ""Whitebeard""","Kono Jidai no Na o ""Shirohige"" to Yobu","The Name of This Era is ""Whitebeard""",17,08/02/2010,Episode 482 (p. 2-17),,,,
574,59,Portgas D. Ace Dies,Potogasu D. Esu Shisu,The Death of Portgaz D. Ace,17,15/02/2010,"Episode 483 (p. 2-17), Episode 484 (p. 16-17)",,,,
575,59,Anger Without Words,Kotoba Naki Ikari,Voiceless Rage,15,22/02/2010,Episode 484 (p. 2-15),,,,
576,59,The Great Pirate Edward Newgate,Daikaizoku Edowado Nyugeto,The Great Pirate Edward Newgate,17,08/03/2010,"Episode 484 (p. 2-3), Episode 485 (p. 4-17)",,,,
577,59,Major Events Piling Up One After Another,Tatamikakeru Daijiken,Outrageous Events One After Another,17,15/03/2010,Episode 486 (p. 2-17),,,,
578,59,He Who Must Live to See a New Age,Shinjidai e Okuru Mono,A Gift for the New Era,19,20/03/2010,Episode 487 (p. 3-19),,,,
579,59,Seconds of Courage,Yuki Aru Subyo,A Few Seconds of Courage,17,29/03/2010,Episode 488 (p. 2-17),,,,
580,59,End of the War,Shusen,The War's Conclusion,15,05/04/2010,Episode 489 (p. 2-15),,,,
581,59,Creeping Future,Shinobiyoru Mirai,Creeping Future,17,19/04/2010,"Episode 490 (p. 2-7, 9-17), Episode 491 (p. 7-8)",,,,
582,59,Luffy and Ace,Rufi to Esu,Luffy and Ace,19,26/04/2010,"Episode 491 (p. 3-15), Episode 493 (p. 16-19)",,,,
583,59,Gray Terminal - The Final Destination of the Uncertainty,Futashikana Mono no Shuchakueki (Gurei Taminaru),Gray Ternimal,17,10/05/2010,"Episode 493 (p. 2-11), Episode 494 (p. 12-17)",,,,
584,59,The Porchemy Incident,Porushemi no Ikken,Incident With Porchemy,17,17/05/2010,"Episode 494 (p. 2-8), Episode 495 (p. 8-16), Episode 498 (p. 17)",,,,
585,60,Brothers' Sake Cups,Kyodai Sakazuki,Brotherly Pact,19,24/05/2010,"Episode 496 (p. 2-14), Episode 497 (p. 14, 16-17), Episode 498 (p. 15), Episode 500 (p. 18-19)",,,,
586,60,A Fetid Town,Akushu no Suru Machi,City of Stench,19,31/05/2010,"Episode 500 (p. 2-12), Episode 501 (p. 13-19)",,,,
587,60,I Will Not Run!,Ore wa Nigenai,I Will Never Run Away,19,07/06/2010,"Episode 501 (p. 2-9), Episode 502 (p. 10-19)",,,,
588,60,Sabo's Ocean,Sabo no Umi,Sabo's Ocean,19,14/06/2010,"Episode 502 (p. 3-6), Episode 503 (p. 6-19)",,,,
589,60,Efforts Toward Glory,Fuun no Kokorozashi,Will Of The Winds,19,28/06/2010,"Episode 503 (p. 2-6), Episode 504 (p. 7-19)",,,,
590,60,My Little Brother,Ototo yo,My Little Brother,19,05/07/2010,Episode 505 (p. 2-19),,,,
